TARGETID	TARGETSCHEMEID	TARGETCODES	TARGETRULE	TARGETADVICE
9554970050	2.16.840.1.113883.6.5.2.1	255.41		
5268052	2.16.840.1.113883.6.5.2.1	369.13		
256056	2.16.840.1.113883.6.5.2.1	253.4		
3988058	2.16.840.1.113883.6.5.2.1	162.9		
1218050	2.16.840.1.113883.6.5.2.1	616.4		
1387050	2.16.840.1.113883.6.5.2.1	693.9		
1796052	2.16.840.1.113883.6.5.2.1	773.2		
4109056	2.16.840.1.113883.6.5.2.1	190.9		
1855056	2.16.840.1.113883.6.5.2.1	781.0		
7584053	2.16.840.1.113883.6.5.2.1	770.7		
1894055	2.16.840.1.113883.6.5.2.1	783.9		
5573058	2.16.840.1.113883.6.5.2.1	380.00		
4334051	2.16.840.1.113883.6.5.2.1	207.20		
2339055	2.16.840.1.113883.6.5.2.1	931		
960054	2.16.840.1.113883.6.5.2.1	425.4		
7143057	2.16.840.1.113883.6.5.2.1	730.26		
5788052	2.16.840.1.113883.6.5.2.1	426.89		
1273053	2.16.840.1.113883.6.5.2.1	641.90		
1364055	2.16.840.1.113883.6.5.2.1	682.8		
6574055	2.16.840.1.113883.6.5.2.1	630		
650056	2.16.840.1.113883.6.5.2.1	343.0		
2202059	2.16.840.1.113883.6.5.2.1	816.12		
9540058054	2.16.840.1.113883.6.5.2.1	E888.9		
4418054	2.16.840.1.113883.6.5.2.1	223.1		
9545318057	2.16.840.1.113883.6.5.2.1	446.7		
9553419056	2.16.840.1.113883.6.5.2.1	V11.8		
6881056	2.16.840.1.113883.6.5.2.1	707.15		
7067050	2.16.840.1.113883.6.5.2.1	726.0		
4688054	2.16.840.1.113883.6.5.2.1	282.61		
2200054	2.16.840.1.113883.6.5.2.1	816.10		
7017056	2.16.840.1.113883.6.5.2.1	720.0		
4957053	2.16.840.1.113883.6.5.2.1	348.2		
9549851052	2.16.840.1.113883.6.5.2.1	618.01		
6723053	2.16.840.1.113883.6.5.2.1	656.60		
9553662053	2.16.840.1.113883.6.5.2.1	523.10		
4795052	2.16.840.1.113883.6.5.2.1	296.41		
2266058	2.16.840.1.113883.6.5.2.1	836.50		
8564052	2.16.840.1.113883.6.5.2.1	905.0		
9553484055	2.16.840.1.113883.6.5.2.1	V16.9		
5211050	2.16.840.1.113883.6.5.2.1	366.20		
9549871056	2.16.840.1.113883.6.5.2.1	707.03		
7027054	2.16.840.1.113883.6.5.2.1	721.90		
5867053	2.16.840.1.113883.6.5.2.1	444.9		
289056	2.16.840.1.113883.6.5.2.1	268.0		
2296050	2.16.840.1.113883.6.5.2.1	847.0		
9534820059	2.16.840.1.113883.6.5.2.1	305.01		
1343059	2.16.840.1.113883.6.5.2.1	669.70		
7120053	2.16.840.1.113883.6.5.2.1	728.6		
1733059	2.16.840.1.113883.6.5.2.1	756.0		
9389051	2.16.840.1.113883.6.5.2.1	998.0		
9541207052	2.16.840.1.113883.6.5.2.1	V02.59		
6132055	2.16.840.1.113883.6.5.2.1	528.6		
